Region,Federal_district,Y,X1,X2,X3,X4
Белгородская область,ЦФО,192504,150,"97,9","83670,0","99,1"
Брянская область,ЦФО,179767,107,"96,4","52847,1","92,6"
Владимирская область,ЦФО,143643,141,"94,5","57072,8","90,2"
Воронежская область,ЦФО,208638,158,"95,1","105084,7","92,7"
Ивановская область,ЦФО,143568,204,"97,6","40014,8","97,3"
Калужская область,ЦФО,175286,144,"95,2","63379,7","96,1"
Костромская область,ЦФО,144117,153,"89,3","28525,4","99,3"
Курская область,ЦФО,169082,100,"93,2","51840,1","93,2"
Липецкая область,ЦФО,195514,126,"97,0","58906,4","96,5"
Московская облась,ЦФО,257951,169,"89,6","532239,4","99,9"
Орловская область,ЦФО,156328,122,"93,0","34762,9","93,9"
Рязанская область,ЦФО,151049,167,"97,2","51614,2","95,1"
Смоленская область,ЦФО,159968,180,"97,6","45519,0","92,2"
Тамбовская область,ЦФО,181666,106,"93,6","52110,5","96,3"
Тверская область,ЦФО,164635,161,"89,1","62559,3","94,6"
Тульская область,ЦФО,170725,148,"90,9","76212,2","97,0"
Ярославская область,ЦФО,161890,226,"96,9","69160,5","94,0"
"г, Москва",ЦФО,346602,445,"100,0","1529126,5","92,5"
Республика Карелия,СЗФО,170771,206,"95,9","38578,9","93,6"
Республика Коми,СЗФО,170979,132,"94,7","76084,9","90,3"
Архангельская область,СЗФО,203019,126,"92,6","81203,5","92,4"
Вологодская область,СЗФО,136224,224,"96,8","60013,6","99,7"
Калининградская область,СЗФО,153165,329,"96,6","70230,2","94,1"
Ленинградская область,СЗФО,191917,95,"97,5","120803,5","102,5"
Мурманская область,СЗФО,203655,154,"95,7","68026,9","90,8"
Новгородская область,СЗФО,176740,133,"100,0","31268,5","91,2"
Псковская облась,СЗФО,154488,155,"92,5","28986,0","94,4"
"г, Санкт-Петербург",СЗФО,234947,439,"96,5","439743,8","97,2"
Ненецкий АО,СЗФО,204097,91,"97,0","20656,0","90,6"
Республика Адыгея,ЮФО,177115,83,"96,3","18157,6","97,8"
Республика Калмыкия,ЮФО,67572,67,"89,0","122363,6","95,7"
Республика Крым,ЮФО,115133,116,"99,3","100178,0","103,6"
Краснодарский край,ЮФО,225159,145,"89,8","253977,1","98,6"
Астраханская область,ЮФО,164241,98,"94,8","42152,7","88,9"
Волгоградская область,ЮФО,136055,114,"86,0","107519,0","88,9"
Ростовская область,ЮФО,201548,128,"87,0","185397,2","95,6"
"г, Севастополь",ЮФО,145575,181,"62,6","18388,2","131,6"
Республика Дагестан,СКФО,217694,21,"91,8","94698,6","100,5"
Республика Ингушетия,СКФО,45965,31,"100,0","26565,9","98,4"
Кабардино-Балкарская Республика,СКФО,136994,58,"93,9","32637,0","97,0"
Карачаево-Черкесская Республика,СКФО,76432,53,"86,9","23234,2","90,7"
Республика Северная Осетия-Алания,СКФО,149749,57,"86,7","25698,2","94,3"
Чеченская Республика,СКФО,108534,20,"99,3","74419,5","94,0"
Ставропольский край,СКФО,158762,93,"98,4","103516,9","91,4"
Республика Башкортостан,ПФО,197400,127,"96,6","179677,8","95,7"
Республика Марий Эл,ПФО,114549,142,"88,4","29843,8","94,2"
Республика Мордовия,ПФО,101590,88,"81,5","46907,2","94,1"
